Name,Year,Genres,Budget,domestic_gross,foreign_gross,worldwide_gross
snowbound,2001.0,thriller,,,,
snowbound: the jim and jennifer stolpa story,1994.0,"drama, television movie",,,,
snowden,2016.0,,50000000.0,21587519.0,15769697.0,37357216.0
snowdrift at bleath gill,1955.0,short film,,,,
snowed in,1926.0,"silent film, drama, black-and-white",,,,
snowmen,2010.0,family film,,,,
snowpiercer,2014.0,,40000000.0,4563650.0,83506851.0,88070501.0
snowstorm,1977.0,"romance film, drama",,,,
snowtown,2011.0,"crime fiction, thriller, drama",,,,
snuff,1976.0,"cult, crime fiction, horror, slasher, sexploitation",,,,
snuff 102,2007.0,"thriller, horror",,,,
snuff bottle connection,1977.0,"action, martial arts film, chinese movies, spy",,,,
snuff-movie,2005.0,horror,,,,
snushanerne,1936.0,black-and-white,,,,
sněženky a machři,1983.0,comedy film,,,,
sněženky a machři po 25 letech,2008.0,comedy film,,,,
so big,1924.0,"silent film, drama, black-and-white",,,,
so big,1953.0,"drama, black-and-white",,,,
so big!,1932.0,drama,,,,
so close,2002.0,"crime fiction, science fiction, adventure, world cinema, action/adventure, martial arts film, drama, comedy, action, chinese movies",,,,
so close to paradise,2001.0,"romantic drama, drama, chinese movies, world cinema",,,,
"so close, so far",2005.0,drama,,,,
so cute,2003.0,drama,,,,
so dark the night,1946.0,"crime fiction, thriller, psychological thriller, black-and-white, mystery, drama, film noir",,,,
so dear to my heart,1949.0,"animal picture, childhood drama, animation, ""childrens/family""",,,,
so does an automobile,1939.0,"short film, comedy film, family film, animation",,,,
so ein flegel,1934.0,"comedy, black-and-white",,,,
so ends our night,1941.0,"drama, war film",,,,
so evil my love,1948.0,"crime fiction, mystery, drama, film noir",,,,
"so evil, so young",1961.0,"crime fiction, drama",,,,
so fine,1981.0,comedy,,,,
so goes my love,1946.0,"comedy, black-and-white",,,,
so goes the nation,2006.0,"political cinema, documentary",,,,
so happy together,2004.0,"lgbt, comedy, world cinema, filipino movies",,,,
so i married an axe murderer,1993.0,"romantic comedy, crime comedy, cult, comedy, romance film, comedy of errors",,,,
so little time,1952.0,"romance film, drama, war film",,,,
so long at the fair,1950.0,"mystery, drama",,,,
so long letty,1920.0,silent film,,,,
so long mr. chumps,1941.0,"short film, comedy, black-and-white, slapstick",,,,
"so long, stooge",1983.0,drama,,,,
so many dreams,1986.0,drama,,,,
so much for so little,1949.0,"short film, animation, documentary",,,,
so much so fast,2006.0,"illnesses & disabilities, culture & society, biography, indie, health & fitness, interpersonal relationships, documentary",,,,
"so near, yet so far",1912.0,"short film, silent film, drama, indie, black-and-white",,,,
so proudly we hail!,1943.0,"action/adventure, action, drama, black-and-white, war film",,,,
so red the rose,1935.0,"period piece, drama, romance film",,,,
so runs the way,1913.0,"short film, silent film, drama, indie, black-and-white",,,,
so this is africa,1933.0,comedy film,,,,
so this is harris!,1933.0,"short film, comedy, black-and-white",,,,
so this is london,1930.0,comedy,,,,
so this is london,1939.0,comedy,,,,
so this is love,1953.0,"musical, biopic [feature]",,,,
so this is love?,1928.0,comedy film,,,,
so this is marriage?,1924.0,"romantic comedy, silent film, drama, romance film, black-and-white",,,,
so this is paris,1955.0,musical comedy,,,,
so this is washington,1943.0,"political cinema, screwball comedy, buddy film, comedy film",,,,
so undercover,2012.0,"action, comedy",,,,
so well remembered,1947.0,drama,,,,
so you don't know korff yet?,1938.0,"crime fiction, comedy",,,,
so you want to be in pictures,1947.0,"short film, comedy",,,,
so you won't talk,1935.0,comedy film,,,,
so young,2013.0,,,11200.0,,
so young 2: never gone,2016.0,,,,,
so young the savage land,1960.0,western,,,,
"so young, so bad",1950.0,"drama, indie",,,,
"so young, so bright",1955.0,"musical, japanese movies, comedy",,,,
