Name,Year,Genres,Budget,domestic_gross,foreign_gross,worldwide_gross
    ,1916.0,"silent film, drama",,,,
!women art revolution,2010.0,"lgbt, history, documentary",,,,
#1 cheerleader camp,2010.0,"sports, sex comedy, comedy film, comedy, teen",,,,
#alive,2020.0,,,,,
#horror,2015.0,,1500000.0,,,
$,1971.0,"crime fiction, heist, action/adventure, thriller, comedy, action",,,,
$9.99,2008.0,"stop motion, drama, indie, world cinema, animation",,,,
'68,1988.0,"drama, period piece, family drama, coming of age",,,,
'71,2015.0,,,,,
'77,2007.0,"drama, comedy, indie",,,,
'gator bait,1974.0,"thriller, action, drama",,,,
'gator bait ii: cajun justice,1988.0,"thriller, indie",,,,
'if only' jim,1920.0,"silent film, western, black-and-white, indie",,,,
'in wrong' wright,1920.0,"short film, silent film, western, black-and-white, indie",,,,
'it's alive!',1969.0,"drama, science fiction, horror",,,,
'n beetje verliefd,2006.0,comedy,,,,
'n schot in de roos,1983.0,"pornographic movie, adult",,,,
'neath austral skies,1913.0,silent film,,,,
'neath the arizona skies,1934.0,"action/adventure, western, action, black-and-white, b-western",,,,
"'night, mother",1986.0,"family drama, drama",,,,
'r xmas,2001.0,"crime fiction, crime thriller, drama, thriller, indie",,,,
'salem's lot,2004.0,"thriller, horror, television movie, mystery, drama, film adaptation",,,,
'til there was you,1997.0,"romantic comedy, romance film, comedy",,,,
'til we meet again,1940.0,"romance film, melodrama, drama, black-and-white",,,,
( ),2003.0,"silent film, indie, experimental film, black-and-white, short film, avant-garde, essay film",,,,
(500) days of summer,2009.0,"romantic comedy, indie, comedy-drama, drama, comedy, romance film",7500000.0,,,
(blooper) bunny,1997.0,"short film, family film, comedy, animation",,,,
(t)raumschiff surprise 0 periode 1,2004.0,,,,,
(untitled),2009.0,"romantic comedy, romance film, satire, comedy, indie",,,,
(wes craven presents) carnival of souls,1998.0,"thriller, supernatural, horror, slasher, psychological thriller",,,,
*batteries not included,1987.0,"science fiction, comedy-drama, drama, comedy, fantasy, family film",,,,
*corpus callosum,2002.0,"drama, experimental film, indie, avant-garde",,,,
-30-,1959.0,drama,,,,
... gdziekolwiek jesteś panie prezydencie,1978.0,historical fiction,,,,
...a tutte le auto della polizia,1975.0,"crime fiction, thriller, horror",,,,
...and god created them,1979.0,comedy,,,,
...and justice for all,1979.0,"thriller, crime fiction, comedy-drama, mystery, satire, drama, comedy, legal drama, courtroom drama, new hollywood, suspense",,,,
...and millions die!,1973.0,thriller,,,,
...and suddenly it's murder!,1961.0,"crime fiction, comedy film",,,,
...and they dared to dream,2002.0,"mystery, fantasy, drama",,,,
...denn die musik und die liebe in tirol,1963.0,music,,,,
...e vennero in quattro per uccidere sartana!,1969.0,"western, spaghetti western",,,,
...first do no harm,1997.0,"drama, television movie",,,,
...ing,2003.0,romance film,,,,
...more than 1000 words,2006.0,documentary,,,,
...sans laisser d'adresse,1951.0,comedy,,,,
...tick...tick...tick...,1970.0,blaxploitation,,,,
...to skin a cat,2004.0,"short film, comedy",,,,
...y mañana serán mujeres,1955.0,"family film, drama",,,,
.357,2005.0,"thriller, short film, crime fiction, drama",,,,
.45,2006.0,"thriller, crime fiction, indie, psychological thriller, drama, crime thriller, black comedy, action",,,,
00 schneider – jagd auf nihil baxter,1994.0,comedy film,,,,
002 operazione luna,1965.0,"comedy, black-and-white",,,,
008: operation exterminate,1965.0,action,,,,
06:30,2006.0,drama,,,,
1,2009.0,"thriller, science fiction, fantasy, world cinema",,,,
1 a minute,2010.0,documentary,,,,
1 day,2009.0,"thriller, crime thriller, drama",,,,
1 more hit,2007.0,"illnesses & disabilities, culture & society, biography, documentary",,,,
1 night in china,2004.0,"adult, pornographic movie",,,,
1 night in paris,2004.0,"pornography, pornographic movie",,,,
"1, 2, 3, sun",1993.0,"parody, drama, comedy, world cinema",,,,
"1,000 dollars a minute",1935.0,comedy film,,,,
"1,000 times good night",2014.0,,,,,
"1,778 stories of me and my wife",2011.0,drama,,,,
1-2-3 corona,1948.0,"crime fiction, drama",,,,
1-2-3 go,1941.0,"short film, comedy, black-and-white",,,,
1-900,1994.0,"thriller, erotic thriller, romance film, drama",,,,
1-ichi,2003.0,"thriller, crime thriller, japanese movies, world cinema, action/adventure",,,,
1. mai – helden bei der arbeit,2008.0,drama,,,,
1/2 man,1986.0,"musical, documentary",,,,
1/4life,2005.0,drama,,,,
10,1979.0,"romantic comedy, romance film, sex comedy, comedy, slapstick",,,,
10 cloverfield lane,2016.0,,5000000.0,72082999.0,38134000.0,110216999.0
10 days in a madhouse,2015.0,,12000000.0,,,
10 days out (blues from the backroads),2005.0,"music, documentary",,,,
10 days with dad,2020.0,,,,,
10 items or less,2006.0,"indie, slice of life story, road movie, comedy-drama, drama, comedy, romance film",,,,
10 lives,2024.0,,,,,
10 minutes,2002.0,short film,,,,
10 on ten,2004.0,"media studies, biography, film & television history, film, documentary",,,,
10 promises to my dog,2008.0,"romance film, drama, comedy",,,,
10 questions for the dalai lama,2006.0,"culture & society, biography, social issues, documentary",,,,
10 rillington place,1971.0,"crime fiction, biography, drama",,,,
10 sekunden,2008.0,drama,,,,
10 terrorists,2012.0,comedy film,,,,
10 things i hate about you,1999.0,"romantic comedy, romance film, coming of age, comedy, teen",13000000.0,,,
10 tigers from kwangtung,1979.0,"action/adventure, martial arts film, chinese movies, world cinema",,,,
10 to 11,2009.0,"drama, world cinema",,,,
10 to midnight,1983.0,"thriller, crime fiction, action thrillers, action/adventure, crime thriller, action",,,,
10 years,2012.0,,,,,
"10,000 b.c.",2008.0,,105000000.0,,,
"10,000 bc",2008.0,"thriller, adventure, costume drama, action/adventure, fantasy, romance film, action",,,,
"10,000 kids and a cop",1948.0,documentary,,,,
10.5,2004.0,"thriller, television movie, action/adventure, drama, disaster, natural disaster",,,,
10.5: apocalypse,2006.0,"thriller, television movie, action/adventure, disaster, action, natural disaster",,,,
100 days,2001.0,drama,,,,
100 days,1991.0,"horror, suspense, world cinema",,,,
100 days after childhood,1974.0,romance film,,,,
100 days before the command,1990.0,"lgbt, social problem film, action, drama, world cinema",,,,
100 days with mr. arrogant,2004.0,"romantic comedy, romance film, drama, comedy",,,,
100 feet,2008.0,"thriller, horror, supernatural",,,,
100 films and a funeral,2007.0,"film & television history, biography, media studies, film, documentary",,,,
100 girls,2001.0,"romantic comedy, romance film, indie, teen, comedy",,,,
100 mile rule,2002.0,comedy film,,,,
100 miles,2007.0,"crime fiction, thriller, drama, short film",,,,
100 million bc,2008.0,"science fiction, horror, adventure, fantasy, action, indie",,,,
100 minutes of glory,2004.0,"biography, drama",,,,
100 proof,1997.0,"drama, crime drama",,,,
100 rifles,1969.0,"action/adventure, indian western, action, drama, western",,,,
100 tears,2007.0,"horror, b-movie, slasher",,,,
100 women,2002.0,"romantic comedy, romance film, comedy, indie",,,,
100 years of love,1954.0,drama,,,,
100% arabica,1997.0,"art film, world cinema, comedy-drama, political satire, satire, drama, comedy, music, political drama",,,,
100% love,2011.0,romantic comedy,,,,
100% love,2012.0,"romance film, comedy film",,,,
100% wolf,2020.0,,,,,
"100,000 cobbers",1942.0,short film,,,,
"100,000 pounds",1948.0,comedy film,,,,
1000 convicts and a woman,1971.0,sexploitation,,,,
1000 rosen,1994.0,drama,,,,
1001 danish delights,1972.0,comedy,,,,
1001 grams,2015.0,,,,,
101,1989.0,"music, documentary",,,,
101 dalmatians,1996.0,"adventure, remake, ""childrens"", drama, comedy, family film",,,,
101 dalmatians ii: patch's london adventure,2002.0,"adventure, ""childrens/family"", animated musical, animation, musical, animated cartoon, family film",,,,
101 proposals,2013.0,,,,,
101 rent boys,2000.0,"lgbt, culture & society, gender issues, social issues, documentary",,,,
101 reykjavík,2000.0,"lgbt, romantic comedy, comedy, world cinema",,,,
101 things removed from the human body,2005.0,documentary,,,,
102 dalmatians,2000.0,"adventure, ""childrens/family"", animal picture, ""childrens"", comedy, family film, family-oriented adventure",85000000.0,66957026.0,,
102 minutes that changed america,2008.0,"historical fiction, documentary",,,,
102 not out,2018.0,,,,,
10:10,2008.0,comedy-drama,,,,
10:30 p.m. summer,1966.0,"romantic drama, romance film, melodrama, drama, film adaptation",,,,
10:32,1966.0,black-and-white,,,,
10th & wolf,2006.0,"thriller, crime fiction, gangster film, mystery, drama, crime thriller",8000000.0,,,
10th district court,2004.0,documentary,,,,
10½,2010.0,drama,,,,
11 harrowhouse,1974.0,"parody, thriller, crime comedy, heist, caper story, action/adventure, crime fiction, comedy, film adaptation, drama, action",,,,
11 listopada,2008.0,war film,,,,
