Name,Year,Genres,Budget,domestic_gross,foreign_gross,worldwide_gross
the still alarm,1930.0,"short film, comedy film",,,,
the stillwell road,1945.0,"history, documentary, propaganda film, war film",,,,
the sting,1973.0,"crime fiction, buddy film, gangster film, period piece, drama, comedy, crime comedy, action, new hollywood",5500000.0,,,
the sting ii,1983.0,"crime fiction, sports, crime comedy, action/adventure, period piece, drama, comedy, action",,,,
the sting of death,1990.0,"japanese movies, drama",,,,
the stink of flesh,2005.0,"cult, black comedy, horror, comedy, zombie film",,,,
the stoker,1932.0,drama,,,,
the stoker,1935.0,comedy film,,,,
the stolen airliner,1955.0,family film,,,,
the stolen airship,1967.0,"family film, fantasy",,,,
the stolen bride,1927.0,"silent film, drama",,,,
the stolen bride,1913.0,"short film, silent film, drama, indie, black-and-white",,,,
the stolen jools,1931.0,"short film, crime comedy, comedy, black-and-white",,,,
the stolen kiss,1920.0,silent film,,,,
the stolen loaf,1913.0,"short film, silent film, drama, indie, black-and-white",,,,
the stolen treaty,1913.0,"short film, silent film, drama, indie, black-and-white",,,,
the stolen years,2013.0,,,,,
the stone angel,2008.0,"family drama, drama, indie, film adaptation",,,,
the stone boy,1984.0,drama,,,,
the stone carvers,1984.0,"short film, indie, documentary",,,,
the stone flower,1946.0,fantasy,,,,
the stone gate,1992.0,drama,,,,
the stone killer,1973.0,"crime fiction, action",,,,
the stoneman murders,2009.0,"thriller, crime fiction, drama",,,,
the stoning of soraya m.,2008.0,"drama, social problem film, world cinema",,,,
the stooge,1952.0,"musical, comedy",,,,
the stool pigeon,2010.0,"thriller, world cinema, action/adventure, drama, action, chinese movies",,,,
the stool pigeon,1915.0,"crime fiction, short film, silent film, black-and-white",,,,
the stoolie,1974.0,crime fiction,,,,
the stopped clock,1913.0,"short film, silent film, drama, indie, black-and-white",,,,
the storage,2011.0,"comedy film, drama",,,,
the stork caliph,1917.0,"silent film, drama",,,,
the stork club,1945.0,"romantic comedy, backstage musical, black-and-white, musical, drama, comedy, romantic drama, romance film",,,,
the stork exchange,1927.0,"short film, silent film, comedy film, animation",,,,
the storm,2008.0,documentary,,,,
the storm riders,1998.0,"wuxia, fantasy adventure, adventure, world cinema, superhero movie, chinese movies, action/adventure, martial arts film, fantasy, romantic fantasy",,,,
the storm warriors,2009.0,"wuxia, fantasy adventure, adventure, world cinema, action/adventure, fantasy, action, chinese movies",,,,
the story of 1,2005.0,"history, world history, documentary",,,,
the story of a crime,1962.0,"short film, animation",,,,
the story of a mother,1979.0,drama,,,,
the story of a murder,1965.0,drama,,,,
the story of a story,1915.0,"short film, silent film, fantasy, black-and-white",,,,
the story of a three-day pass,1968.0,"indie, world cinema, black-and-white, drama, film adaptation, romantic drama, romance film",,,,
the story of adele h.,1975.0,"world cinema, period piece, drama, biopic [feature], romantic drama, romance film",,,,
the story of alexander graham bell,1939.0,"period piece, drama, biographical film, biopic [feature]",,,,
the story of asya klyachina,1966.0,"romance film, drama",,,,
the story of bonnie and clyde,2010.0,biographical film,,,,
the story of chaim rumkowski and the jews of lodz,1982.0,"tragedy, biography, history, war film, biographical film, documentary",,,,
the story of dr. wassell,1944.0,"biopic [feature], drama, docudrama, war film",,,,
the story of esther costello,1957.0,"melodrama, drama, black-and-white",,,,
the story of g.i. joe,1945.0,"combat films, drama, war film",,,,
the story of gilbert and sullivan,1953.0,"biography, drama",,,,
the story of jang-hwa and heung-ryeo,1956.0,drama,,,,
the story of joseph and his brethren,1962.0,"""childrens/family"", epic, hagiography, ""childrens"", drama, family film",,,,
the story of little mook: tales from europe,1953.0,"fantasy, world cinema",,,,
the story of louis pasteur,1936.0,"biography, black-and-white, period piece, drama, medical fiction, biopic [feature], biographical film",,,,
the story of mankind,1957.0,"science fiction, historical fiction, fantasy",,,,
the story of marie and julien,2003.0,"mystery, romance film, drama, world cinema, romantic drama",,,,
the story of menstruation,1946.0,"short film, educational, animation",,,,
the story of papworth,1936.0,short film,,,,
the story of piera,1983.0,drama,,,,
the story of pupu,1998.0,"japanese movies, drama, comedy",,,,
the story of qiu ju,1992.0,"art film, world cinema, comedy-drama, satire, drama, comedy, chinese movies",,,,
the story of robin hood and his merrie men,1952.0,"swashbuckler films, adventure, costume drama, action/adventure, drama, family film, action",,,,
