Name,Year,Genres,Budget,domestic_gross,foreign_gross,worldwide_gross
ummini thanka,1961.0,historical fiction,,,,
umoja the village where men are forbidden,2008.0,documentary,,,,
umorismo in nero,1965.0,black comedy,,,,
umrao jaan,2006.0,"romantic drama, romance film, drama, world cinema",,,,
umrao jaan,1981.0,"musical, drama, bollywood, world cinema",,,,
umurage,2002.0,documentary,,,,
un aliado en el tiempo,2008.0,short film,,,,
un aller simple,2001.0,"drama, comedy",,,,
un amor en moisés ville,2001.0,drama,,,,
un amore,1965.0,romance film,,,,
un amore perfetto,2002.0,romantic comedy,,,,
un amour de parapluie,1951.0,short film,,,,
un amour à taire,2005.0,"lgbt, drama, world cinema",,,,
un animale utile,1951.0,"short film, documentary",,,,
un argentino en new york,1998.0,"science fiction, action, drama",,,,
un asunto privado,1996.0,"drama, indie",,,,
un atardecer de amor,1943.0,"romance film, drama, black-and-white",,,,
"un autre homme,une autre chance",1977.0,western,,,,
un barrage contre le pacifique,2008.0,drama,,,,
un bon bock,1892.0,"short film, silent film, indie, animation",,,,
un borghese piccolo piccolo,1977.0,drama,,,,
un buit qui rend fou,1995.0,"thriller, crime fiction, drama, mystery",,,,
un burattino di nome pinocchio,1972.0,"fantasy, animation",,,,
un centavo de mujer,1958.0,black-and-white,,,,
un chien andalou,1929.0,"cult, silent film, art film, world cinema, experimental film, surrealism, black-and-white, short film, satire, fantasy, drama, avant-garde, indie",,,,
un comisar acuză,1973.0,"political thriller, drama, war film",,,,
un coupable idéal,2001.0,"crime fiction, world cinema, documentary",,,,
un cuerpo de mujer,1949.0,"romance film, drama",,,,
un cœur en hiver,1992.0,"romantic drama, romance film, drama, world cinema",,,,
un drame au château d'acre,1915.0,"short film, silent film, drama, black-and-white",,,,
un dramma borghese,1983.0,drama,,,,
un drôle de paroissien,1963.0,comedy,,,,
un elefante color ilusión,1970.0,"drama, adventure, ""childrens/family""",,,,
un extraño en la escalera,1955.0,"mystery, drama",,,,
un flic,1972.0,"thriller, crime fiction",,,,
un gallo con muchos huevos,2015.0,,,,,
un garibaldino al convento,1942.0,"comedy film, drama",,,,
un gaucho con plata,1970.0,comedy film,,,,
un giorno in pretura,1954.0,"drama, comedy",,,,
un giorno nella vita,1946.0,"drama, war film",,,,
un guapo del '900,1960.0,"drama, black-and-white",,,,
un guapo del 900,1952.0,black-and-white,,,,
un hombre bueno,1941.0,black-and-white,,,,
un hombre cualquiera,1954.0,black-and-white,,,,
un hombre extraño,1971.0,thriller,,,,
un hombre solo no vale nada,1949.0,black-and-white,,,,
un homme de têtes,1898.0,"short film, comedy film",,,,
un homme qui dort,1974.0,drama,,,,
un idilio de estación,1978.0,comedy-drama,,,,
un kannil neer vazhindal,1985.0,drama,,,,
un ladro in paradiso,1952.0,comedy,,,,
un long dimanche de fianã§ailles,2004.0,,55000000.0,,,
