Name,Year,Genres,Budget,domestic_gross,foreign_gross,worldwide_gross
escape from tomorrow,2013.0,,650000.0,,,
escape from zahrain,1962.0,"action/adventure, action, adventure",,,,
escape in the fog,1945.0,"crime fiction, mystery, psychological thriller, film noir",,,,
escape me never,1947.0,black-and-white,,,,
escape me never,1935.0,drama,,,,
escape of the birdmen,1971.0,"history, drama, adventure, escape film, war film",,,,
escape plan,2013.0,,70000000.0,25135965.0,112192336.0,137328301.0
escape room,2019.0,,,,,
escape room: tournament of champions,2021.0,,,,,
escape to athena,1979.0,"adventure, escape film, war film",,,,
escape to danger,1943.0,thriller,,,,
escape to glory,1940.0,drama,,,,
escape to paradise,1939.0,"romance film, musical, comedy, black-and-white",,,,
escape to the sun,1972.0,drama,,,,
escape to victory,1981.0,"action/adventure, drama, war film",,,,
escape to witch mountain,1975.0,"science fiction, adventure, mystery, fantasy, drama, family film",,,,
escape to witch mountain,1995.0,science fiction,,,,
escapee,2011.0,"thriller, horror",,,,
escaping tel aviv,2009.0,"thriller, action, drama",,,,
escaping the holocost,2015.0,,150000.0,,,
escarpment blues,2006.0,documentary,,,,
escobar: paradise lost,2015.0,,17000000.0,,,
escort girl,1941.0,"crime fiction, drama",,,,
escuela de campeones,1950.0,"drama, adventure, black-and-white",,,,
escuela de rateros,1958.0,"crime fiction, comedy film",,,,
escuela de sirenas y tiburones,1955.0,black-and-white,,,,
escuela de vagabundos,1955.0,comedy film,,,,
escuela para solteras,1964.0,comedy film,,,,
escándalo en la familia,1967.0,comedy film,,,,
escándalo nocturno,1951.0,black-and-white,,,,
escápate conmigo,1987.0,"musical, comedy",,,,
eskimo artist: kenojuak,1967.0,"short film, documentary",,,,
eskimo nell,1975.0,"sex comedy, comedy",,,,
eskimotive,1928.0,"short film, comedy film, animation",,,,
eskrimadors,2009.0,"filipino movies, documentary",,,,
esmeralda,1905.0,"short film, silent film, drama, black-and-white",,,,
esmeralda,1922.0,"silent film, drama, black-and-white",,,,
esmerelda,1915.0,silent film,,,,
españa 1936,1937.0,"short film, black-and-white",,,,
especialista en chamacas,1965.0,"comedy film, drama",,,,
especialista en señoras,1951.0,black-and-white,,,,
esperando la carroza,1985.0,comedy film,,,,
esperando un hermanito,1965.0,black-and-white,,,,
esperanza,1946.0,drama,,,,
esperanza,1949.0,black-and-white,,,,
espionage agent,1939.0,"mystery, action, black-and-white, spy",,,,
esposa último modelo,1950.0,black-and-white,,,,
esquilache,1989.0,"biographical film, drama",,,,
"esquiú, una luz en el sendero",1965.0,black-and-white,,,,
essai d'ouverture,1988.0,short film,,,,
essential keys to better bowling,2006.0,"sports, documentary",,,,
essential killing,2010.0,"thriller, adventure, world cinema, action/adventure, drama, war film, action, political drama",,,,
essex boys,2000.0,"thriller, action thrillers, indie, action/adventure, crime fiction, crime thriller, action",,,,
esta es mi argentina,1974.0,"musical, documentary",,,,
esta noche mejor no,1965.0,black-and-white,,,,
esta tierra es mía,1961.0,black-and-white,,,,
esta voz entre muchas,1979.0,culture & society,,,,
estas são as armas,1978.0,"short film, documentary",,,,
este cura,1968.0,"drama, comedy",,,,
este loco amor loco,1979.0,"drama, comedy",,,,
este loco verano,1970.0,comedy-drama,,,,
"este loco, loco, buenos aires",1973.0,comedy film,,,,
esthappan,1980.0,,,,,
esther,1999.0,"crime fiction, biography, epic, period piece, drama, romantic drama, romance film",,,,
esther,1986.0,"drama, world cinema",,,,
esther and the king,1960.0,"period piece, drama, epic",,,,
esther kahn,2000.0,"period piece, drama, indie",,,,
esther waters,1948.0,"melodrama, drama",,,,
esther's diary,2008.0,drama,,,,
esther... the girl who became queen,2000.0,"short film, musical, ""childrens"", animation",,,,
estilo hip hop,2009.0,"political cinema, hip hop movies, documentary",,,,
estoy hecho un demonio,1972.0,"musical, comedy",,,,
estrellas de buenos aires,1956.0,black-and-white,,,,
estrellita,1947.0,"drama, musical drama, black-and-white",,,,
está es mi vida,1952.0,black-and-white,,,,
estômago,2007.0,"drama, world cinema",,,,
et: the extra-terrestrial,1982.0,,10500000.0,,,
eta: une histoire basque,2007.0,documentary,,,,
eterna agonía,1949.0,drama,,,,
eternal,2005.0,"thriller, crime thriller, drama, psychological thriller, supernatural",,,,
eternal flame,2007.0,"short film, lgbt, musical",,,,
eternal love,1929.0,"silent film, drama, romance film, film adaptation",,,,
eternal moment,2011.0,romance film,,,,
eternal summer,2006.0,"lgbt, drama, chinese movies, world cinema",,,,
eternally yours,1939.0,"family drama, black-and-white, drama, comedy, romantic drama, romance film",,,,
eternals,2021.0,,,,,
eternity,2010.0,romance film,,,,
eternity,2010.0,"thriller, horror",,,,
eternity,1990.0,drama,,,,
eternity and a day,1998.0,"road movie, drama, art film, world cinema",,,,
ethan mao,2004.0,"thriller, lgbt, family drama, psychological thriller, gay, gay interest, drama, gay themed, crime thriller",,,,
ethel,2012.0,"biographical film, documentary",,,,
ethel's romeos,1915.0,"short film, silent film, indie, black-and-white, comedy",,,,
ethir neechal,1968.0,drama,,,,
ethirum pudhirum,1999.0,"action, tamil cinema",,,,
eththan,2011.0,drama,,,,
eti,2008.0,romance film,,,,
etter rubicon,1987.0,"thriller, drama",,,,
ettupatti rasa,1997.0,drama,,,,
eu adam,1996.0,"fantasy, drama",,,,
eugene aram,1924.0,"silent film, drama",,,,
eugene aram,1914.0,"crime fiction, silent film, drama",,,,
eulis atjih,1927.0,"silent film, drama",,,,
eulogy,2004.0,"lgbt, black comedy, comedy, indie",10000000.0,,,
eun-gyo,2012.0,"romance film, drama",,,,
euphoria,2006.0,"romance film, drama",,,,
eureka,1983.0,"crime fiction, gangster film, film adaptation, drama, courtroom drama",2000000.0,,,
eureka,2000.0,"crime fiction, japanese movies, drama, world cinema",2000000.0,,,
eureka stockade,1949.0,war film,,,,
eureka stockade,1907.0,silent film,,,,
europa '51,1952.0,"drama, black-and-white",,,,
europa europa,1990.0,"lgbt, history, drama, world cinema, war film",,,,
europe raiders,2018.0,,,,,
eva,1962.0,"romantic drama, romance film, drama, film adaptation",,,,
eva,1948.0,"drama, black-and-white",,,,
eva,2010.0,"romantic drama, romance film, drama, period piece, world cinema",,,,
eva,1958.0,comedy,,,,
eva fools around,1939.0,comedy,,,,
eva perón: the true story,1996.0,"biography, drama, world cinema",,,,
evadaithe nakenti,2007.0,"crime fiction, thriller, mystery, drama, comedy, action",,,,
evadi gola vaadidi,2004.0,"world cinema, musical, drama, comedy, romantic drama, romance film, bollywood",,,,
evangelina,1959.0,black-and-white,,,,
evangeline,1929.0,"silent film, drama",,,,
evangeline,1913.0,silent film,,,,
evangeline,1919.0,silent film,,,,
evangelion 2.0: you can (not) advance,2011.0,,,,,
evangelion: 1.0 you are (not) alone,2007.0,"lgbt, anime, japanese movies",,,,
evangelion: 2.0,2009.0,"science fiction, japanese movies, animation, anime, drama, fantasy, action",,,,
evangelion: 2.0 you can (not) advance,2009.0,,,,,
evangelion: 3.0,2012.0,anime,,,,
evangelion: 3.0 you can (not) redo,2014.0,,,175000.0,60313399.0,60488399.0
evangelion: 3.0+1.01 thrice upon a time,2021.0,,,,,
evangelion: death and rebirth,1997.0,"science fiction, japanese movies, animation, anime, fantasy, drama",,,,
evano oruvan,2007.0,"thriller, drama",,,,
evaraina eppudaina,2009.0,romance film,,,,
evare atagaadu,2003.0,romance film,,,,
evdokia,1971.0,drama,,,,
eve,1968.0,"thriller, adventure",,,,
eve,2008.0,"romantic comedy, short film",,,,
eve & the fire horse,2006.0,"indie, family drama, comedy-drama, childhood drama, period piece, drama",,,,
eve of destruction,1991.0,"thriller, action/adventure, science fiction, action",,,,
eve vorley & charmaine sinclair: all nude page 3 models,1997.0,pornographic movie,,,,
eve's bayou,1997.0,"period piece, melodrama, drama, indie, childhood drama",5000000.0,,,
eve's dropping in,2003.0,short film,,,,
eve's love letters,1927.0,"short film, silent film, indie, black-and-white",,,,
evel knievel,1971.0,action/adventure,,,,
evelyn,2002.0,"period piece, family drama, drama, world cinema, courtroom drama",,,,
evelyn prentice,1934.0,"crime fiction, thriller, detective fiction, detective, black-and-white, mystery, drama, film adaptation, romance film, courtroom drama",,,,
evelyn: the cutest evil dead girl,2002.0,"short film, comedy",,,,
even angels eat beans,1973.0,"crime fiction, comedy film, action",,,,
even cowgirls get the blues,1994.0,"romantic comedy, lgbt, absurdism, road movie, western, fantasy, comedy, film adaptation, drama, romance film, feminist film",,,,
even dwarfs started small,1970.0,"drama, art film, world cinema",,,,
even hitler had a girlfriend,1991.0,comedy,,,,
even if this love disappears from the world tonight,2022.0,,,,,
even money,2007.0,"crime fiction, drama, indie",,,,
even pigeons go to heaven,2007.0,"short film, drama, animation",,,,
even the clouds are drifting,1959.0,"family film, drama",,,,
even the rain,2010.0,"history, drama",,,,
evenfall,2005.0,"short film, action, adventure",,,,
evening - night - morning,1920.0,"silent film, drama, black-and-white",,,,
evening bell,1988.0,"drama, chinese movies, war film",,,,
evening bells,1986.0,drama,,,,
evening clothes,1927.0,"comedy film, drama, silent film",,,,
evening in byzantium,1978.0,"thriller, drama, political thriller",,,,
evening of roses,2009.0,"romance film, chinese movies",,,,
evensong,1934.0,"musical, drama",,,,
