Name,Year,Genres,Budget,domestic_gross,foreign_gross,worldwide_gross
minari,2021.0,,,,,
minbo,1992.0,"japanese movies, comedy",,,,
minchina ota,1981.0,"crime fiction, adventure",,,,
minchina ota,2008.0,action,,,,
mind game,2004.0,"fantasy adventure, japanese movies, anime, fantasy, heavenly comedy",,,,
mind the gap,2007.0,"drama, comedy",,,,
mind the gap,2004.0,"drama, comedy, indie",,,,
"mind your back, professor",1977.0,comedy,,,,
"mind, body & soul sessions: live in new york city",2004.0,"music, concert film",,,,
mindbenders,2004.0,science fiction,,,,
minder on the orient express,1985.0,thriller,,,,
minding the baby,1931.0,short film,,,,
mindripper,1995.0,horror,,,,
mindshadows,1988.0,drama,,,,
mindwalk,1990.0,drama,,,,
mindwarp,1992.0,"thriller, science fiction, action, horror",,,,
mine games,2012.0,thriller,,,,
mine own executioner,1947.0,"drama, black-and-white",,,,
mine tossede drenge,1961.0,family film,,,,
mine vaganti,2010.0,,9100000.0,,,
mine your own business,2007.0,documentary,,,,
minesweeper,1943.0,war film,,,,
"mingo y aníbal, dos pelotazos en contra",1984.0,"comedy film, family film, adventure",,,,
"minguito tinguitela, papá",1974.0,comedy film,,,,
mingus: charlie mingus 1968,1968.0,"music, documentary",,,,
mini,1995.0,"family film, drama",,,,
mini moni ja movie: okashina daibouken,2002.0,japanese movies,,,,
mini punjab,2009.0,"romance film, comedy, musical",,,,
mini's first time,2006.0,"crime fiction, indie, comedy-drama, drama, comedy, black comedy, film noir",,,,
minin and pozharsky,1939.0,,,,,
minions,2015.0,,74000000.0,336045770.0,824290403.0,1160336173.0
minions: the rise of gru,2022.0,,,,,
minister fatakeshto,2007.0,"crime fiction, action",,,,
ministry of fear,1944.0,"psychological thriller, film noir, spy",,,,
minna no ie,2001.0,"japanese movies, comedy, world cinema",,,,
minnale,2001.0,"world cinema, musical, drama, romantic drama, romance film, bollywood",,,,
minnaminnikoottam,2008.0,"thriller, romance film",,,,
minnaram,1994.0,"musical, drama, comedy, bollywood",,,,
minnesota clay,1965.0,"spaghetti western, western, action",,,,
minnesota cuke and the search for noah's umbrella,2009.0,"short film, musical, ""childrens"", animation",,,,
minnesota cuke and the search for samson's hairbrush,2005.0,"musical, ""childrens"", animation",,,,
minnie and moskowitz,1971.0,"indie, comedy-drama, drama, comedy, romantic drama, romance film",,,,
minnunnathellam ponnalla,1957.0,,,,,
minor details,2009.0,"family film, family drama, drama",,,,
minor maappillaigal,1996.0,comedy,,,,
minor mishaps,2002.0,"drama, comedy",,,,
minoru: memory of exile,1992.0,short film,,,,
minotaur,2006.0,"monster movie, horror, teen",,,,
"minotaur, the wild beast of crete",1960.0,adventure,,,,
minsaara kanavu,1997.0,"world cinema, musical, drama, romantic drama, romance film, bollywood",,,,
minsara kanna,1999.0,"drama, comedy",,,,
minstrel man,1944.0,musical,,,,
minushi,2007.0,"science fiction, action, fantasy, adventure, animation",,,,
minutemen,2008.0,"science fiction, adventure, ""childrens"", comedy, sci-fi adventure, teen",,,,
mio in the land of faraway,1987.0,"fantasy adventure, adventure, ""childrens/family"", fantasy, ""childrens fantasy"", family film, family-oriented adventure",,,,
mira,1971.0,drama,,,,
miracle at midnight,1998.0,"family film, family drama, drama, television movie",,,,
miracle at moreaux,1986.0,"family film, drama, adventure, period piece, war film",,,,
miracle at st. anna,2008.0,"crime fiction, period piece, film adaptation, drama, war film",45000000.0,,,
miracle beach,1992.0,"romantic comedy, romance film, fantasy, comedy, teen",,,,
miracle child,1993.0,"family film, drama",,,,
miracle in cell no. 7,2013.0,,,,,
miracle in milan,1951.0,"parody, world cinema, black-and-white, drama, comedy, fantasy",,,,
miracle in soho,1957.0,"romantic comedy, drama, romance film, comedy-drama",,,,
miracle landing,1990.0,"disaster, action, drama, docudrama, television movie",,,,
miracle lane 2,2000.0,"family film, comedy, drama, childhood drama, ""childrens/family""",,,,
miracle mile,1988.0,"thriller, science fiction, doomsday film, action/adventure, drama, disaster, romance film",,,,
miracle of flight,1974.0,"short film, animation",,,,
miracle of the white stallions,1963.0,"family drama, adventure, animal picture, drama, war film, family film",,,,
miracle on 1st street,2007.0,"drama, crime comedy, comedy-drama, comedy, gangster film",,,,
miracle on 34th street,1994.0,"drama, family film, family drama, fantasy, courtroom drama",,,,
miracle on 34th street,1973.0,"fantasy, family film, drama",,,,
miracle on 34th street,1947.0,"christmas movie, fantasy",,,,
miracle on ice,1981.0,"sports, family film, family drama, drama, television movie",,,,
miracle run,2003.0,drama,,,,
miracles,1986.0,"romantic comedy, action/adventure, comedy, romance film, action, chinese movies",,,,
miracles,1989.0,"crime fiction, world cinema, action/adventure, martial arts film, drama, comedy, chinese movies",,,,
miracles for sale,1939.0,"crime fiction, mystery, black-and-white",,,,
miracles from heaven,2016.0,,13000000.0,61705123.0,12277880.0,73983003.0
miracolo a viggiù,1952.0,comedy,,,,
"miraculous: ladybug & cat noir, the movie",2023.0,,,,,
mirage,1965.0,"thriller, mystery, crime thriller",,,,
mirage,1972.0,"drama, world cinema",,,,
mirai,2018.0,,,813000.0,,
miral,2010.0,"biography, indie, world cinema, period piece, drama, film adaptation, biographical film, political drama",,,,
miranda,1948.0,"romantic comedy, romantic drama, romance film, drama, science fiction",,,,
miranda,2002.0,"thriller, crime fiction, psychological thriller, erotic thriller, drama, black comedy, romance film",,,,
mirapakaay,2011.0,"romance film, action, drama, tollywood",,,,
mircea,1989.0,"action, drama, historical drama, war film",,,,
mirch,2010.0,"world cinema, musical, drama, romantic drama, romance film, bollywood",,,,
mirch masala,1985.0,"thriller, drama",,,,
mirchi,2008.0,romantic comedy,,,,
miriam,1957.0,drama,,,,
mirka,2000.0,drama,,,,
mirror,2007.0,horror,,,,
mirror of holland,1950.0,"short film, documentary",,,,
mirror wars,2005.0,"thriller, action/adventure, action, world cinema",,,,
"mirror, mirror",1990.0,"horror, indie, supernatural",,,,
"mirror, mirror 2: raven dance",1994.0,"horror, teen",,,,
mirrormask,2005.0,"science fiction, fantasy adventure, adventure, family drama, fantasy, drama, family film",4000000.0,,,
mirrors 2,2010.0,"thriller, horror, psychological thriller, supernatural",,,,
mirugam,2007.0,drama,,,,
mirush,2007.0,"crime fiction, family drama, drama, world cinema",,,,
mirza ghalib,1988.0,"biographical film, drama",,,,
mirza ghalib,1954.0,"drama, bollywood",,,,
mirza sahibaan,1947.0,"romance film, drama, family film",,,,
mirza – the untold story,2012.0,"crime fiction, comedy film, action, drama, romance film",,,,
mis días con verónica,1980.0,drama,,,,
misadventures in 3d,2003.0,"short film, animation",,,,
misafa lesafa,2004.0,"culture & society, linguistics, biography, language & literature, documentary",,,,
misbegotten,1998.0,thriller,,,,
misbehaving husbands,1940.0,"romance film, comedy, black-and-white",,,,
