Name,Year,Genres,Budget,domestic_gross,foreign_gross,worldwide_gross
reindeer games,2000.0,"crime fiction, heist, caper story, action/adventure, thriller, drama, crime thriller, action",36000000.0,23368995.0,,
reindeerspotting: escape from santaland,2010.0,documentary,,,,
reise ins ehebett,1966.0,comedy film,,,,
rejected,2000.0,"short film, comedy, animation",,,,
rejsen til saturn,2008.0,,2700000.0,,,
rekava,1956.0,drama,,,,
"rekrut 67, petersen",1952.0,"family film, black-and-white",,,,
relative fear,1994.0,"thriller, mystery, horror, indie, psychological thriller",,,,
relative strangers,2006.0,"indie, comedy",,,,
relative values,2000.0,"romantic comedy, romance film, comedy, world cinema",,,,
relax,1998.0,"action, adventure",,,,
relax freddie,1966.0,comedy,,,,
relax...it's just sex,1998.0,"romantic comedy, lgbt, drama, comedy, gay themed, romance film",,,,
release the prisoners to spring,1975.0,"musical, comedy",,,,
relentless,1989.0,"thriller, crime fiction, drama, crime thriller",,,,
relentless 3,1993.0,"thriller, crime thriller, horror",,,,
relentless iv: ashes to ashes,1994.0,thriller,,,,
relentless: the struggle for peace in israel,2003.0,indie,,,,
"religion, inc.",1995.0,"parody, comedy",,,,
religulous,2008.0,"political cinema, satire, comedy, documentary",2500000.0,,,
reluctant bride,1955.0,comedy,,,,
reluctant heroes,1951.0,comedy film,,,,
remake,2003.0,drama,,,,
remarkable power,2008.0,"indie, comedy",,,,
rembrandt,1936.0,"biographical film, biography, drama, period piece, black-and-white",,,,
rembrandt,1942.0,"biography, drama",,,,
rembrandt,1940.0,"history, biographical film, drama, black-and-white",,,,
rembrandt fecit 1669,1977.0,"period piece, drama, biopic [feature]",,,,
rembrandt: a self-portrait,1954.0,"short film, documentary",,,,
rembrandt’s j’accuse,2008.0,"history, world cinema, documentary",,,,
remedial reading comprehension,1970.0,short film,,,,
remedy,2005.0,"thriller, mystery, indie",,,,
remember (canada release),2015.0,,,,,
remember (us release),2016.0,,,,,
remember chek jawa,2007.0,documentary,,,,
remember last night?,1935.0,"mystery, comedy, detective",,,,
remember mary magdalen,1914.0,"short film, silent film, drama, black-and-white",,,,
remember me this way,1974.0,documentary,,,,
"remember me, my love",2004.0,"ensemble film, world cinema, family drama, drama, romantic drama, romance film",6700000.0,227986.0,,
remember me?,1997.0,comedy film,,,,
remember my name,1978.0,"thriller, drama, psychological thriller",,,,
remember the day,1941.0,"drama, black-and-white",,,,
remember the night,1940.0,"romantic comedy, romance film, christmas movie, comedy, black-and-white",,,,
remember these faces,1945.0,"short film, propaganda film",,,,
remember you,2016.0,,,,,
remember?,1939.0,"romance film, comedy, black-and-white",,,,
remembering arthur,2006.0,"biography, documentary",,,,
remembering charlie perkins,2009.0,"short film, documentary",,,,
remembering saddam,2004.0,documentary,,,,
remembering the cosmos flower,2000.0,"japanese movies, drama, world cinema",,,,
remembrance,2001.0,short film,,,,
remembrance of georgia,2002.0,,,,,
remesis,2010.0,,,,,
reminiscence,2021.0,,,,,
reminiscences of a journey to lithuania,1972.0,documentary,,,,
remnants of auric healing,2004.0,drama,,,,
remo williams: the adventure begins,1985.0,"crime fiction, adventure, action/adventure, glamorized spy film, martial arts film, comedy, action, spy",,,,
remodeling her husband,1920.0,silent film,,,,
remodelled beauty,1975.0,horror,,,,
remorse at death,1948.0,chinese movies,,,,
"remorse, a story of the red plague",1917.0,silent film,,,,
remote,1993.0,comedy,,,,
remote control,1988.0,"comedy film, horror, science fiction",,,,
remote control war,2011.0,war film,,,,
remp-it,2006.0,action,,,,
rena,1938.0,"drama, black-and-white",,,,
renaissance,2006.0,"thriller, science fiction, future noir, black-and-white, animation, action",18000000.0,,,
renaissance man,1994.0,"comedy-drama, comedy",40000000.0,,,
renaissance: a film by beyoncé,2023.0,,,,,
renaldo and clara,1978.0,"experimental film, concert film, surrealism, musical, drama, avant-garde",,,,
rencontres,1962.0,drama,,,,
rendez-vous,1985.0,"romantic drama, romance film, drama, world cinema",,,,
rendezvous,1935.0,"black-and-white, spy",,,,
rendezvous at bray,1971.0,"music, drama, war film",,,,
rendezvous in july,1949.0,"comedy film, drama",,,,
rendezvous in paris,1982.0,drama,,,,
rendezvous with death,2006.0,documentary,,,,
rendezvous with dishonour,1970.0,drama,,,,
rendezvous with ragnarok,2005.0,,,,,
rendolepsis,2003.0,thriller,,,,
rendu,2006.0,"bollywood, musical, drama, comedy, world cinema",,,,
rendu jella sita,1983.0,"comedy film, drama",,,,
rendu rella aaru,1985.0,comedy film,,,,
renegade,1987.0,adventure,,,,
renegade girl,1946.0,western,,,,
renegade riders,1967.0,"western, action",,,,
renegades,1930.0,"action, black-and-white",77500000.0,,,
renegades,1989.0,"crime fiction, thriller, buddy film, action/adventure, drama, action",77500000.0,,,
renegades of the rio grande,1945.0,western,,,,
renewal,2008.0,documentary,,,,
renfield,2023.0,,,,,
renfrew of the royal mounted,1937.0,"singing cowboy, northern, black-and-white",,,,
renigunta,2009.0,action,,,,
reno,1923.0,"silent film, drama",,,,
renoir,2012.0,drama,,,,
rent a friend,2000.0,"romance film, comedy",,,,
rent control,1984.0,"romantic drama, comedy film",,,,
rent free,1922.0,silent film,,,,
rent-a-cop,1987.0,"action/adventure, thriller, action, comedy, comedy thriller",,,,
rent-a-kid,1995.0,"comedy film, drama, family film",,,,
rent: filmed live on broadway,2008.0,"filmed play, musical",,,,
rentadick,1972.0,"crime fiction, comedy film",,,,
