Name,Year,Genres,Budget,domestic_gross,foreign_gross,worldwide_gross
a star is born,1954.0,"musical, drama",36000000.0,215288866.0,221100000.0,436388866.0
a star is born,2012.0,musical,36000000.0,215288866.0,221100000.0,436388866.0
a thousand words,2012.0,"comedy-drama, drama, comedy",40000000.0,18450127.0,3594150.0,22044277.0
a walk to remember,2002.0,"melodrama, coming of age, film adaptation, drama, romantic drama, romance film, teen",11000000.0,41281092.0,6213824.0,47494916.0
a wrinkle in time,2003.0,"science fiction, fantasy adventure, adventure, ""childrens/family"", television movie, drama, ""childrens fantasy"", film adaptation, fantasy, family film",103000000.0,100478608.0,32923274.0,133401882.0
abandon,2002.0,"thriller, mystery, drama, psychological thriller, suspense",25000000.0,10727683.0,1574536.0,12302219.0
abduction,1975.0,"thriller, crime fiction, drama",35000000.0,28087155.0,58561204.0,86648359.0
abduction,2011.0,"thriller, mystery, action, drama, action/adventure",35000000.0,28087155.0,58561204.0,86648359.0
about a boy,2002.0,"romantic comedy, slice of life story, comedy-drama, coming of age, comedy, drama, romance film",27000000.0,41385278.0,89956651.0,131341929.0
about last night,1986.0,"romantic comedy, comedy-drama, drama, comedy, romantic drama, romance film",13000000.0,48637684.0,1808176.0,50445860.0
about schmidt,2002.0,"indie, comedy of manners, comedy-drama, drama, comedy, black comedy, tragicomedy",30000000.0,65016287.0,42049267.0,107065554.0
abraham lincoln: vampire hunter,2012.0,"thriller, action/adventure, action, horror, fantasy",67500000.0,37519139.0,99970591.0,137489730.0
across the universe,2007.0,"lgbt, jukebox musical, period piece, musical, drama, romantic drama, romance film",45000000.0,24343673.0,5023470.0,29367143.0
act of valor,2012.0,"thriller, action, adventure",12000000.0,70012847.0,12484188.0,82497035.0
adrift,2009.0,"drama, world cinema",35000000.0,31445012.0,28500000.0,59945012.0
adrift,2009.0,"lgbt, drama, world cinema",35000000.0,31445012.0,28500000.0,59945012.0
after earth,2013.0,"science fiction, action, adventure",130000000.0,60522097.0,190977568.0,251499665.0
after the sunset,2004.0,"crime fiction, heist, crime comedy, caper story, action/adventure, comedy, crime thriller, action",57000000.0,28331233.0,34326635.0,62657868.0
agent cody banks,2003.0,"thriller, crime fiction, adventure, ""childrens/family"", action/adventure, ""childrens"", comedy, family film, action, romance film, family-oriented adventure, spy",25000000.0,47938330.0,10857484.0,58795814.0
agent cody banks 2: destination london,2004.0,"adventure, ""childrens/family"", action/adventure, comedy, family film, action, family-oriented adventure, spy",26000000.0,23630159.0,5188836.0,28818995.0
agora,2009.0,"christian film, adventure, world cinema, history, epic, period piece, drama, romance film, historical epic",70000000.0,619423.0,38837919.0,39457342.0
akeelah and the bee,2006.0,"drama, family film, family drama, coming of age, childhood drama",8000000.0,18848430.0,110994.0,18959424.0
aladdin,1992.0,"adventure, costume drama, animation, musical, ""childrens"", fantasy, comedy, music, family film, romance film",182000000.0,355559216.0,695134737.0,1050693953.0
aladdin,1994.0,"family film, japanese movies, adventure, animation",182000000.0,355559216.0,695134737.0,1050693953.0
alex & emma,2003.0,"romantic comedy, romance film, comedy",30000000.0,14218698.0,1150199.0,15368897.0
alexander,2004.0,"lgbt, biography, adventure, costume drama, history, action/adventure, period piece, drama, war film, romance film, action",155000000.0,34297191.0,133001001.0,167298192.0
alfie,2004.0,"romantic comedy, sex comedy, remake, comedy-drama, drama, comedy, romantic drama, romance film",40000000.0,13399812.0,21800000.0,35199812.0
alfie,1966.0,"lgbt, sex comedy, drama, comedy, romantic drama, romance film",40000000.0,13399812.0,21800000.0,35199812.0
ali,2001.0,"biography, boxing, sports, period piece, drama, biographical film",109000000.0,58203105.0,29510720.0,87713825.0
alice in wonderland,1903.0,"short film, silent film",200000000.0,334191110.0,691300000.0,1025491110.0
alice in wonderland,1933.0,"fantasy, black-and-white",200000000.0,334191110.0,691300000.0,1025491110.0
alice in wonderland,2010.0,"computer animation, family film, fantasy, adventure",200000000.0,334191110.0,691300000.0,1025491110.0
alice in wonderland,2006.0,"romance film, drama",200000000.0,334191110.0,691300000.0,1025491110.0
alice in wonderland,1950.0,"drama, family film, fantasy, musical",200000000.0,334191110.0,691300000.0,1025491110.0
alice in wonderland,1966.0,"family film, fantasy, adventure",200000000.0,334191110.0,691300000.0,1025491110.0
alice in wonderland,1976.0,"musical, comedy, pornographic movie",200000000.0,334191110.0,691300000.0,1025491110.0
alice in wonderland,1983.0,"family film, adventure, musical",200000000.0,334191110.0,691300000.0,1025491110.0
alice in wonderland,1999.0,"adventure, television movie, costume drama, fantasy, comedy, family film",200000000.0,334191110.0,691300000.0,1025491110.0
alice in wonderland,1988.0,"family film, fantasy, adventure, animation",200000000.0,334191110.0,691300000.0,1025491110.0
alice in wonderland,1915.0,"silent film, black-and-white",200000000.0,334191110.0,691300000.0,1025491110.0
alice in wonderland,1951.0,"adventure, costume drama, animation, ""childrens"", fantasy, drama, music, family film",200000000.0,334191110.0,691300000.0,1025491110.0
alice in wonderland,1931.0,fantasy,200000000.0,334191110.0,691300000.0,1025491110.0
alice in wonderland,1985.0,"family film, fantasy, adventure, television movie",200000000.0,334191110.0,691300000.0,1025491110.0
alice through the looking glass,1987.0,"family film, fantasy, animation",170000000.0,77042381.0,222415643.0,299458024.0
aliens in the attic,2009.0,"science fiction, adventure, ""childrens/family"", fantasy, comedy, family film, family-oriented adventure",45000000.0,25200412.0,34350871.0,59551283.0
all about steve,2009.0,comedy,15000000.0,33862903.0,6264356.0,40127259.0
all about the benjamins,2002.0,"crime fiction, heist, buddy film, action comedy, action/adventure, comedy, crime comedy, action",14000000.0,25916319.0,390214.0,26306533.0
all the pretty horses,2000.0,"adventure, period piece, action/adventure, western, coming of age, film adaptation, drama, romantic drama, romance film",45000000.0,15540353.0,2593142.0,18133495.0
almost famous,2000.0,"road movie, comedy-drama, period piece, musical, coming of age, comedy, drama, musical drama",60000000.0,32534850.0,14848839.0,47383689.0
along came a spider,2001.0,"crime fiction, thriller, psychological thriller, mystery, suspense, film adaptation, crime thriller",28000000.0,74078174.0,31100387.0,105178561.0
along came polly,2004.0,"romantic comedy, gross out, romance film, gross-out film, comedy",42000000.0,88097164.0,90214565.0,178311729.0
alvin and the chipmunks,2007.0,"""childrens/family"", computer animation, musical, ""childrens"", drama, comedy, music, family film",55000000.0,217326974.0,148025572.0,365352546.0
alvin and the chipmunks: chipwrecked,2011.0,"computer animation, family film, fantasy, comedy, animation",80000000.0,133110742.0,215981134.0,349091876.0
alvin and the chipmunks: the squeakquel,2009.0,"computer animation, ""childrens"", fantasy, comedy, music, family film",70000000.0,219614612.0,223868601.0,443483213.0
amelia,2009.0,"biography, adventure, period piece, drama, romance film, biographical film",40000000.0,14279575.0,5476502.0,19756077.0
america's sweethearts,2001.0,"romantic comedy, romance film, comedy",46000000.0,93607673.0,67040820.0,160648493.0
american gangster,2007.0,"crime fiction, gangster film, crime drama, period piece, drama, war film, crime thriller, biographical film",100000000.0,130164645.0,139590785.0,269755430.0
american hustle,2007.0,comedy,40000000.0,150117807.0,107760487.0,257878294.0
american outlaws,2001.0,"costume drama, action/adventure, revisionist western, western, comedy, action",35000000.0,13342790.0,336123.0,13678913.0
american pie 2,2001.0,"ensemble film, sex comedy, gross-out film, comedy, gross out, romance film, teen",30000000.0,145103595.0,142450000.0,287553595.0
american psycho,2000.0,"thriller, crime thriller, horror, psychological thriller, period piece, satire, drama, comedy, film adaptation, crime fiction, black comedy, slasher",8000000.0,15070285.0,19200000.0,34270285.0
american reunion,2012.0,"romance film, comedy",50000000.0,57011521.0,180040376.0,237051897.0
american wedding,2003.0,"sex comedy, gross-out film, comedy, gross out, romance film, teen",55000000.0,104565114.0,128157821.0,232722935.0
amores perros,2000.0,"thriller, ensemble film, drama",2000000.0,5408467.0,15500000.0,20908467.0
amour,1970.0,"romantic drama, romance film, drama",9700000.0,6739492.0,30048090.0,36787582.0
an american haunting,2006.0,"period piece, horror, supernatural",14000000.0,16298046.0,14145231.0,30443277.0
an education,2009.0,"coming of age, period piece, drama, film adaptation, romantic drama, romance film",7500000.0,12574914.0,17077822.0,29652736.0
an inconvenient truth,2006.0,"culture & society, biography, environmental science, political cinema, social issues, documentary",1000000.0,24146161.0,29219764.0,53365925.0
an unfinished life,2005.0,"family drama, drama, melodrama",30000000.0,8586392.0,10031892.0,18618284.0
anacondas: the hunt for the blood orchid,2004.0,"thriller, natural horror films, horror, adventure, jungle film, action/adventure, action",25000000.0,32238923.0,38800000.0,71038923.0
analyze that,2002.0,"crime comedy, buddy film, comedy, gangster film",60000000.0,32130627.0,22872508.0,55003135.0
