Name,Year,Genres,Budget,domestic_gross,foreign_gross,worldwide_gross
ooh la la la,2012.0,,,,,
ooh… you are awful,1972.0,"indie, comedy",,,,
oolkatal,1979.0,musical,,,,
oolong courtyard,2018.0,,,,,
oom ferdinand en de toverdrank,1974.0,family film,,,,
oomai vizhigal,1986.0,"crime fiction, action",,,,
oomakkuyil padumbol,2012.0,"""childrens""",,,,
oomappenninu uriyadappayyan,2002.0,"action, drama, comedy",,,,
oonche log,1985.0,"drama, world cinema",,,,
"ooo, den-o, all riders: let's go kamen riders",2011.0,action,,,,
oorkavalan,1987.0,,,,,
oorlog en vrede,1918.0,"silent film, drama, black-and-white, war film",,,,
ooru vittu ooru vandhu,1990.0,,,,,
oorukku uzhaippavan,1976.0,,,,,
ooruku nooruper,2001.0,drama,,,,
oorummadi brathukulu,1977.0,,,,,
oosaravelli,2011.0,"romance film, action, comedy",,,,
oothikachiya ponnu,1981.0,,,,,
oottyppattanam,1992.0,"comedy film, action, drama",,,,
ooty varai uravu,1967.0,"drama, world cinema",,,,
op de bodem van de hemel,1965.0,"drama, comedy, documentary",,,,
op de hollandse toer,1973.0,comedy,,,,
op hoop van zegen,1924.0,"silent film, drama",,,,
op hoop van zegen,1986.0,"romance film, drama",,,,
op hoop van zegen,1934.0,"drama, black-and-white",,,,
op hoop van zegen,1918.0,"silent film, drama",,,,
op stap,1935.0,"comedy, black-and-white",,,,
op stap door amsterdam,1919.0,silent film,,,,
opal dream,2006.0,"indie, world cinema, ""childrens/family"", family drama, childhood drama, drama, film adaptation, family film",9000000.0,,,
opasni put,1963.0,war film,,,,
opasniye povoroty,1961.0,comedy,,,,
open all night,1934.0,drama,,,,
open city,2008.0,"crime fiction, action",,,,
open doors,1989.0,drama,,,,
open fire,1994.0,thriller,,,,
open graves,2009.0,"thriller, horror, slasher",,,,
open hearts,2002.0,"dogme 95, romance film, drama, world cinema, romantic drama",,,,
open house,2004.0,"musical, comedy, indie",,,,
open house,1987.0,"horror, slasher",,,,
open mic'rs,2006.0,comedy,,,,
open road,2013.0,,3000000.0,,,
open season 2,2008.0,"adventure, ""childrens/family"", animation, comedy, family film, family-oriented adventure",,,,
open season 3,2010.0,"computer animation, family film, animation",,,,
open secret,2015.0,,100000.0,,,
open water 2: adrift,2006.0,"thriller, horror, psychological thriller, suspense, indie",,,,
open windows,2014.0,,,,,
open your eyes,2008.0,"short film, drama",,,,
opened by mistake,1940.0,"mystery, comedy",,,,
opening day of close-up,1996.0,"short film, culture & society, film",,,,
opening night,1977.0,"drama, indie",,,,
opening of the kiel canal,1895.0,"short film, silent film, indie, documentary",,,,
opera,1987.0,"cult, giallo, horror, slasher, world cinema",,,,
opera jawa,2006.0,"tragedy, drama, musical, world cinema, art film",,,,
opera ve vinici,1981.0,drama,,,,
operace silver a,2007.0,drama,,,,
operación antartida,1958.0,black-and-white,,,,
operación comando,1980.0,"musical, comedy",,,,
operación g,1962.0,black-and-white,,,,
operación ogro,1979.0,"thriller, drama",,,,
operación rosa rosa,1974.0,"crime fiction, musical, action, spy",,,,
