Name,Year,Genres,Budget,domestic_gross,foreign_gross,worldwide_gross
the big event,1986.0,"sports, action",,,,
the big fall,2005.0,"detective fiction, detective, animation, short film, mystery, drama, comedy",,,,
the big fisherman,1959.0,"christian film, drama, epic, biopic [feature]",,,,
the big fix,1947.0,"crime fiction, drama",,,,
the big fix,1978.0,"thriller, mystery, comedy, crime thriller",,,,
the big freeze,1993.0,comedy,,,,
the big gamble,1961.0,"action, drama, comedy",,,,
the big game,1974.0,"science fiction, action, drama",,,,
the big gay musical,2009.0,"lgbt, romantic comedy, indie, gay, musical, gay interest, drama, comedy, gay themed, romance film",,,,
the big green,1995.0,"sports, family film, comedy, ""childrens/family""",,,,
the big gundown,1966.0,spaghetti western,,,,
the big hangover,1950.0,"romantic comedy, romance film, screwball comedy, comedy, comedy film",,,,
the big heat,1953.0,"crime fiction, black-and-white, drama, suspense, film noir",,,,
the big heist,2001.0,"crime fiction, drama",,,,
the big hit,1998.0,"crime fiction, caper story, action comedy, action/adventure, comedy, crime thriller, action",13000000.0,,,
the big house,1930.0,"crime fiction, drama, black-and-white",,,,
the big house,2001.0,"short film, drama",,,,
the big hurt,1988.0,"crime fiction, thriller",,,,
the big i am,2009.0,"crime fiction, thriller, action, gangster film, action/adventure",,,,
the big idea,1917.0,"short film, silent film, indie, black-and-white, comedy",,,,
the big idea,1934.0,"short film, black-and-white",,,,
the big issue,2009.0,,,,,
the big job,1965.0,"heist, crime comedy, comedy",,,,
the big journey,2004.0,"drama, coming of age, world cinema",,,,
the big kahuna,2000.0,"drama, black comedy, comedy-drama, comedy, indie",,,,
the big knife,1955.0,"drama, black-and-white, film noir, film adaptation",,,,
the big lebowski,1998.0,"crime fiction, buddy film, indie, screwball comedy, cult, comedy, crime comedy, stoner film",15000000.0,,,
the big lebowski (20th anniversary),2018.0,,,,,
the big lie,1951.0,propaganda film,,,,
the big lift,1950.0,"action, drama, black-and-white",,,,
the big man,1990.0,"crime fiction, sports, drama, boxing",,,,
the big money,1958.0,comedy,,,,
the big mouth,1967.0,"satire, comedy",,,,
the big night,1951.0,"thriller, drama, film noir, film adaptation",,,,
the big night bathe,1980.0,drama,,,,
the big noise,1944.0,comedy,,,,
the big one,1998.0,"political cinema, crime fiction, comedy, indie, documentary",,,,
the big one: the great los angeles earthquake,1990.0,"disaster, drama",,,,
the big operator,1959.0,"crime fiction, drama",,,,
the big operator,1976.0,comedy,,,,
the big parade,1925.0,"silent film, drama, indie, black-and-white, war film",245000.0,,,
the big parade,1990.0,"drama, chinese movies",245000.0,,,
the big picture,1989.0,"black comedy, drama, comedy",,,,
the big pond,1930.0,"musical, romantic comedy, romance film, comedy, black-and-white",,,,
the big premiere,1940.0,"short film, family film, comedy, black-and-white",,,,
the big punch,1921.0,"silent film, western, black-and-white",,,,
the big red one,1980.0,"combat films, action, drama, war film",,,,
the big road,1934.0,"silent film, indie, black-and-white, chinese movies",,,,
the big shakedown,1934.0,"crime fiction, melodrama, drama, black-and-white",,,,
the big shave,1968.0,"short film, drama",,,,
the big short,2015.0,,28000000.0,70259870.0,63181000.0,133440870.0
the big shot,1942.0,"crime fiction, drama, black-and-white",,,,
the big shot-caller,2008.0,"dance, drama, indie",,,,
the big show,1923.0,"short film, silent film, indie, black-and-white, comedy",,,,
the big show,1936.0,"music, western, drama, romance film",,,,
the big show-off,1945.0,"romance film, musical, drama, comedy, black-and-white",,,,
the big sick,2017.0,,5000000.0,42873127.0,13538458.0,56411585.0
the big sky,1952.0,"road movie, western, costume adventure, adventure, black-and-white",,,,
the big sleep,1946.0,"crime fiction, mystery, thriller, film noir",,,,
the big sleep,1978.0,"crime fiction, thriller, gangster film, mystery, drama, crime thriller",,,,
the big snit,1985.0,"short film, comedy, animation",,,,
the big snooze,1946.0,comedy,,,,
the big sombrero,1949.0,western,,,,
the big splash,1935.0,comedy,,,,
the big stampede,1932.0,"black-and-white, action/adventure, western, drama, b-western, action",,,,
the big steal,1990.0,comedy,,,,
the big steal,1949.0,"thriller, black-and-white, film noir",,,,
the big store,1941.0,"musical, comedy, black-and-white",,,,
the big street,1942.0,"romantic drama, romance film, drama",,,,
the big stuffed dog,1981.0,"family film, drama, comedy",,,,
the big swallow,1901.0,"short film, silent film",,,,
the big swindle,2004.0,"crime fiction, action",,,,
the big t.n.t. show,1966.0,"music, musical, concert film, documentary",,,,
the big tease,2000.0,"lgbt, mockumentary, comedy, indie",4000000.0,,,
the big timer,1932.0,"drama, black-and-white",,,,
the big town,1987.0,"thriller, period piece, drama, film adaptation, romantic drama, romance film",,,,
the big town,1925.0,"short film, silent film, comedy, black-and-white",,,,
the big trail,1930.0,"epic western, action/adventure, western, action, black-and-white",,,,
the big trees,1952.0,"melodrama, drama",,,,
the big vacation,1967.0,comedy,,,,
the big wheel,1949.0,"action/adventure, black-and-white, sports, drama, action, auto racing",,,,
the big white,2005.0,"black comedy, crime comedy, comedy, indie",,,,
the big year,2011.0,comedy,41000000.0,,,
the bigamist,1956.0,"comedy film, black-and-white",,,,
the bigamist,1953.0,"drama, black-and-white",,,,
