Name,Year,Genres,Budget,domestic_gross,foreign_gross,worldwide_gross
gudumba shankar,2004.0,"drama, world cinema, tollywood",,,,
guelwaar,1992.0,"social problem film, drama",,,,
guendalina,1957.0,"comedy, black-and-white",,,,
guernica,1950.0,short film,,,,
gueros,2015.0,,,,,
guerra di troia,1961.0,"action, drama, adventure",,,,
guerrilla,2011.0,"drama, war film",,,,
guerrilla girl,2005.0,documentary,,,,
guess what we learned in school today?,1970.0,comedy,,,,
guess who's coming to dinner,1967.0,"comedy of manners, family drama, comedy-drama, drama, romantic drama, romance film",,,,
guest from the future,1985.0,"science fiction, ""childrens""",,,,
guest house paradiso,1999.0,black comedy,,,,
guest in the house,1944.0,"thriller, melodrama, drama, suspense, film noir",,,,
guest of honour,1934.0,comedy film,,,,
guest wife,1945.0,"comedy, black-and-white",,,,
guests wanted,1932.0,short film,,,,
guests who arrived on the last train,1967.0,drama,,,,
guglhupfgeschwader,2022.0,,,,,
guglielmo tell,1949.0,drama,,,,
guiana 1838,2004.0,,1000000.0,,,
guide,1965.0,"world cinema, musical, drama, romance film, bollywood",,,,
guide de la petite vengeance,2006.0,"thriller, drama, comedy",,,,
guided mouse-ille,1967.0,"""childrens/family""",,,,
guided muscle,1955.0,"short film, family film, animation",,,,
guillaume et les sortilèges,2007.0,drama,,,,
guilt,1931.0,romance film,,,,
guilt is my shadow,1950.0,"crime fiction, drama",,,,
guilt redeemed,1915.0,"silent film, drama, black-and-white",,,,
guilty,1916.0,"short film, silent film, indie, black-and-white",,,,
guilty as sin,1993.0,"thriller, erotic thriller, psychological thriller, crime thriller, courtroom drama",,,,
guilty by suspicion,1991.0,"thriller, period piece, drama, political drama, courtroom drama",,,,
guilty bystander,1950.0,"thriller, crime fiction, detective fiction, detective, film noir",,,,
guilty conscience,1985.0,"crime fiction, mystery, thriller, drama, crime thriller",,,,
guilty hearts,2005.0,"romantic drama, romance film, drama, indie",,,,
guilty melody,1936.0,drama,,,,
guilty of mind,2017.0,,,,,
guilty of romance,2011.0,"drama, japanese movies, horror, film noir",,,,
guilty of treason,1950.0,"biography, drama, political drama",,,,
guilty or innocent of using the n word,2006.0,"short film, documentary",,,,
guilty or innocent: the sam sheppard murder case,1975.0,drama,,,,
guilty?,1930.0,"crime fiction, romance film, drama",,,,
guimba the tyrant,1995.0,"adventure, world cinema, action/adventure, fantasy, comedy, drama, political drama",,,,
guiness vision,2009.0,action,,,,
guinevere,1994.0,"adventure, television movie, period piece, fantasy, romantic drama, drama, sword and sorcery, romance film",,,,
guinevere,1999.0,"romantic drama, romance film, drama, indie",,,,
guitarra,1973.0,"short film, documentary",,,,
guizi lai le,2000.0,"black comedy, war film, drama, chinese movies, comedy",,,,
gul-e-bakawali,1939.0,,,,,
gula divisionen,1954.0,drama,,,,
gulaal,2009.0,"thriller, crime fiction, drama, world cinema",,,,
gulabi,1996.0,"romantic drama, romance film, drama, world cinema",,,,
gulag,1985.0,"drama, prison, political drama, escape film",,,,
gulama,2009.0,romance film,,,,
guldasta,2011.0,,,,,
gulebakavali katha,1962.0,"drama, musical, fantasy",,,,
gulf stream under the iceberg,2012.0,drama,,,,
gulliver mickey,1934.0,black-and-white,,,,
gulliver's travels beyond the moon,1965.0,"sci-fi adventure, science fiction, anime, fantasy, japanese movies",,,,
gully boy,2019.0,,,,,
gulmohar,2008.0,drama,,,,
gulumal,2009.0,"thriller, drama, comedy",,,,
gumapang ka sa lusak,1990.0,"drama, filipino movies",,,,
gumastavin magal,1974.0,,,,,
gumby: the movie,1995.0,"adventure, ""childrens/family"", stop motion, animation, fantasy, comedy, family film, ""childrens fantasy""",,,,
gummo,1997.0,"ensemble film, indie, experimental film, drama, teen, avant-garde",,,,
gumnaam,1965.0,"thriller, drama, world cinema, bollywood",,,,
gumnaam – the mystery,2008.0,"world cinema, musical, drama, romantic drama, romance film, bollywood",,,,
gumrah,1993.0,"thriller, action/adventure, drama, bollywood, world cinema",,,,
gumrah,1963.0,"world cinema, musical, drama, romantic drama, romance film, bollywood",,,,
gumshoe,1971.0,"parody, crime fiction, thriller, comedy, mystery",,,,
gun,2010.0,"thriller, action/adventure, action, crime fiction",,,,
gun crazy,1949.0,"thriller, crime fiction, indie, black-and-white, drama, crime thriller, film noir",,,,
gun crazy 2: beyond the law,2002.0,japanese movies,,,,
gun crazy 3: the big gundown,2003.0,japanese movies,,,,
gun crazy: a woman from nowhere,2002.0,"action/adventure, japanese movies, action, drama, world cinema",,,,
gun for a coward,1957.0,western,,,,
gun fury,1953.0,"action/adventure, western",,,,
gun grit,1936.0,western,,,,
gun hill road,2011.0,"drama, indie",,,,
gun law,1919.0,"short film, silent film, western, black-and-white, indie",,,,
gun shy,2000.0,"crime fiction, romantic comedy, gangster film, action/adventure, comedy, romance film, action",10000000.0,1638202.0,,
gun the man down,1956.0,"action/adventure, western",,,,
guna,1991.0,drama,,,,
gunaah,2002.0,"crime fiction, drama",,,,
gunahon ka devta,1990.0,action,,,,
gunahon ka faisla,1988.0,action,,,,
gunahon ka sheher,2006.0,,,,,
gunasundari katha,1949.0,drama,,,,
gunbuster,1988.0,"japanese movies, animation, short film, anime, drama, action",,,,
guncrazy,1992.0,"thriller, crime fiction, indie, drama, crime thriller, romantic drama, romance film, action",,,,
gunda,1998.0,"action, comedy",,,,
gundagardi,1997.0,action,,,,
gundamma gaari manavadu,2007.0,"drama, comedy",,,,
gundamma katha,1962.0,"comedy film, drama",,,,
gundaraj,1995.0,action,,,,
gundello godari,2012.0,drama,,,,
gunehgar,1995.0,action,,,,
gunfight at the o.k. corral,1957.0,"action/adventure, western",,,,
gunfight in abilene,1967.0,"western, adventure",,,,
gunfighters,1947.0,"western, action, drama, romance film",,,,
gunfighters of the northwest,1954.0,"adventure, black-and-white",,,,
gung ho,1986.0,"sports, comedy, workplace comedy",,,,
gung ho!,1943.0,"action/adventure, combat films, action, war film",,,,
gunga din,1939.0,"adventure, british empire film, epic, black-and-white, action/adventure, drama, war film, action, cavalry film",,,,
gunga jumna,1961.0,"musical, drama, world cinema, bollywood",,,,
gunhed,1989.0,"action/adventure, science fiction, japanese movies, world cinema",,,,
gunita,1940.0,filipino movies,,,,
gunless,2010.0,"comedy western, action/adventure, western, drama, comedy, action",9900000.0,,,
gunman,1983.0,"thriller, crime fiction, action",,,,
gunman in the streets,1950.0,"thriller, crime fiction, world cinema, chase movie, black-and-white, drama, suspense, crime thriller, film noir",,,,
gunman's walk,1958.0,western,,,,
gunmen,1994.0,"thriller, crime fiction, buddy film, action/adventure, comedy, action",,,,
gunmen's blues,1981.0,"short film, indie",,,,
gunn,1967.0,"crime fiction, thriller, detective fiction, detective, mystery, drama, crime thriller",,,,
gunner palace,2005.0,"war film, indie, documentary",,,,
gunnin' for that,2008.0,"sports, biography, documentary",,,,
"gunpowder, treason & plot",2004.0,"historical drama, television movie",,,,
guns,1990.0,"thriller, action, drama, sexploitation",,,,
guns & talks,2001.0,"crime fiction, world cinema, action comedy, action/adventure, martial arts film, comedy, crime thriller, action",,,,
guns a poppin!,1957.0,"short film, comedy, black-and-white",,,,
guns and roses -- ik junoon,1999.0,musical,,,,
guns at batasi,1964.0,"action/adventure, drama, adventure, war film",,,,
guns don't argue,1957.0,"crime fiction, action, drama, adventure, black-and-white",,,,
guns in the heather,1969.0,"family film, adventure",,,,
guns of darkness,1962.0,"drama, adventure",,,,
guns of diablo,1965.0,"western, drama",,,,
guns of el chupacabra,1997.0,"natural horror films, horror",,,,
guns of the law,1944.0,"action/adventure, western, action, b-western, black-and-white",,,,
guns of the magnificent seven,1969.0,"adventure, period piece, action/adventure, western, drama, action",,,,
guns of the timberland,1960.0,western,,,,
"guns, girls and gambling",2011.0,"thriller, crime fiction",,,,
"guns, girls, and gangsters",1959.0,"crime fiction, drama",,,,
gunshy,1998.0,"thriller, gangster film, crime drama, action/adventure, mystery, drama, crime thriller, action",,,,
gunslinger,2012.0,thriller,,,,
gunslinger,1956.0,"western, action",,,,
gunslinger's revenge,1998.0,"crime fiction, action/adventure, western, action, world cinema",,,,
gunsmoke,1953.0,"western, action",,,,
gunsmoke iv: the long ride,1993.0,"action/adventure, western, television movie",,,,
gunsmoke ranch,1937.0,"action/adventure, western, action, black-and-white",,,,
gunsmoke: return to dodge,1987.0,"action/adventure, western, television movie",,,,
guppedu manasu,1979.0,drama,,,,
gupt: the hidden truth,1997.0,"thriller, crime thriller, horror, world cinema, bollywood",,,,
gurjar veer / brave warriors of gujarat,1932.0,silent film,,,,
guru,1980.0,drama,,,,
guru,2007.0,"drama, world cinema, bollywood",,,,
guru,1989.0,crime fiction,,,,
guru,2003.0,action,,,,
guru,1997.0,"drama, fantasy",,,,
guru dakshina,1983.0,drama,,,,
guru sishyan,2010.0,romance film,,,,
guru sishyan,1988.0,,,,,
gurudev,1993.0,romance film,,,,
gus,1976.0,"sports, family film, animal picture, drama, comedy",,,,
gus and the anarchists,1915.0,"short film, silent film, indie, black-and-white, comedy",,,,
"guten tag, ramon",2015.0,,4000000.0,,,
guts,2009.0,drama,,,,
gutterballs,2008.0,"b-movie, horror, slasher, teen, horror comedy",,,,
guy,1997.0,drama,,,,
guy fawkes,1923.0,"drama, historical drama",,,,
guy ritchie's the covenant,2023.0,,,,,
guy x,2005.0,"black comedy, indie, comedy, war film",,,,
guyana tragedy: the story of jim jones,1980.0,"drama, docudrama, biopic [feature]",,,,
guyana: crime of the century,1979.0,"drama, world cinema",,,,
guys and balls,2004.0,"romantic comedy, lgbt, sports, comedy, world cinema",,,,
guys and dolls,1955.0,"romance film, musical, gangster film, comedy, musical comedy",,,,
guyver: dark hero,1994.0,"action, science fiction, martial arts film, horror, superhero movie",,,,
guzaarish,2010.0,"world cinema, musical, drama, comedy, romantic drama, romance film, bollywood",,,,
gwar: live from antarctica,1990.0,"music, concert film",,,,
"gwen, le livre de sable",1985.0,"fantasy, adventure, animation",,,,
gwendoline,1984.0,"thriller, world cinema, action/adventure, erotic thriller, drama, film adaptation, action, sexploitation",,,,
gwiaździsta eskadra,1930.0,"romance film, drama, war film",,,,
gwoemul,2007.0,,12000000.0,,,
gyarah challis ki last metro,2012.0,"thriller, comedy",,,,
gym teacher: the movie,2008.0,"family film, ""childrens"", coming of age, comedy, television movie",,,,
gymkata,1985.0,"action/adventure, action, martial arts film, adventure",,,,
gymnoi sto dromo,1969.0,"musical, drama, romance film",,,,
gypo,2005.0,"drama, dogme 95",,,,
gypped in the penthouse,1955.0,"short film, comedy, black-and-white",,,,
gypsy,2011.0,"coming of age, drama",,,,
gypsy,1962.0,"comedy-drama, musical, drama, biographical film, comedy",,,,
gypsy,1993.0,"musical, biography, drama, period piece, television movie",,,,
gypsy 83,2001.0,"lgbt, indie, road movie, comedy-drama, coming of age, comedy, drama, black comedy",,,,
gypsy blood,2012.0,documentary,,,,
gypsy magic,1997.0,"drama, comedy",,,,
gypsy woman,2001.0,romance film,,,,
gösta berlings saga,1924.0,"silent film, melodrama, indie, world cinema, black-and-white, drama, romance film",,,,
göta kanal,1981.0,comedy,,,,
göta kanal 2 - kanalkampen,2006.0,comedy film,,,,
güemes - la tierra en armas,1971.0,"history, drama",,,,
gül baba,1940.0,musical,,,,
güle güle,2000.0,"drama, comedy",,,,
gülen gözler,1977.0,"drama, comedy",,,,
h,1990.0,drama,,,,
h,2002.0,"thriller, horror, detective, world cinema, psychological thriller, crime thriller",,,,
h story,2001.0,japanese movies,,,,
h*commerce: the business of hacking you,2009.0,documentary,,,,
h-2 worker,1990.0,"political cinema, social issues, documentary",,,,
h-8,1958.0,drama,,,,
h.,2014.0,,200000.0,,,
h. g. wells' the shape of things to come,1979.0,"science fiction, drama, adventure, film adaptation",,,,
h. h. holmes: america's first serial killer,2003.0,"crime fiction, history, psychological thriller, documentary",,,,
h.e. double hockey sticks,1999.0,comedy,,,,
h.g. wells' the war of the worlds,2005.0,"thriller, science fiction, indie, steampunk",,,,
h.g. wells' war of the worlds,2005.0,"thriller, science fiction, indie, alien film, drama, film adaptation, action",,,,
"h.m. pulham, esq.",1941.0,"romance film, drama, comedy, black-and-white",,,,
h.o.t.s.,1979.0,"gross out, sex comedy, gross-out film, comedy",,,,
h2o,1929.0,"short film, silent film, indie, black-and-white",,,,
h2o,2002.0,,,,,
h2o,2004.0,drama,,,,
h3,2001.0,"drama, prison, docudrama",,,,
h6: diary of a serial killer,2005.0,"horror, world cinema",,,,
ha da venì... don calogero!,1952.0,comedy,,,,
ha fatto tredici,1951.0,comedy,,,,
ha! ha! ha!,1934.0,"short film, family film, comedy, animation",,,,
haage summane,2008.0,"musical, drama",,,,
haakon haakonsen,1991.0,,8500000.0,,,
haal-e-dil,2008.0,"romantic comedy, ensemble film, world cinema, musical, drama, romantic drama, romance film, bollywood",,,,
haan maine bhi pyaar kiya,2002.0,"romantic drama, romance film, drama, bollywood, world cinema",,,,
haasil,2003.0,"romantic drama, romance film, drama, bollywood, world cinema",,,,
haatchhani,2012.0,thriller,,,,
haath ki safai,1974.0,"family film, action, drama, bollywood",,,,
haathi mere saathi,1993.0,comedy,,,,
haathon ki lakeeren,1986.0,"family film, drama, musical",,,,
hababam sinifi,1975.0,comedy,,,,
hababam sınıfı tatilde,1977.0,comedy film,,,,
habana blues,2005.0,"musical, drama, world cinema",,,,
habana eva,2010.0,romantic comedy,,,,
habanastation,2011.0,"fantasy, drama",,,,
habeas corpus,1928.0,"silent film, indie, black-and-white, short film, comedy, slapstick",,,,
haber,2008.0,drama,,,,
habermann,2010.0,"history, war film",,,,
habit,1995.0,"drama, romance film, horror, psychological thriller",,,,
habitat,1997.0,"science fiction, horror, indie",,,,
"habla, mudita",1973.0,drama,,,,
hachi: a dog's tale,2009.0,,,,,
hachiko monogatari,1987.0,"family film, drama",,,,
hachiko: a dog's story,2009.0,"family film, family drama, drama",16000000.0,,,
hack job,2011.0,"thriller, comedy film, horror",,,,
hack!,2007.0,"b-movie, horror, teen",,,,
hackers,1995.0,"thriller, crime fiction, cult, action/adventure, drama, comedy, crime thriller, action, teen, suspense",,,,
hackers are people too,2008.0,"short film, documentary",,,,
hackers in wonderland,2000.0,documentary,,,,
hackers wanted,2008.0,"indie, documentary",,,,
hackers wizards of the electronic age,1984.0,short film,,,,
hacking democracy,2006.0,"computers, political drama, social issues, culture & society",,,,
hacks,1997.0,"mystery, comedy film",,,,
hacks,2003.0,"mockumentary, comedy, stand-up comedy, indie",,,,
hacksaw ridge,2016.0,,40000000.0,67209615.0,113354021.0,180563636.0
hadersfild,2007.0,drama,,,,
hadewijch,2009.0,"drama, world cinema",,,,
hadh kar di aapne,2000.0,"romantic comedy, bollywood",,,,
hadley's rebellion,1987.0,drama,,,,
haeckel's tale,2006.0,"cult, horror, television movie",,,,
haeundae,2009.0,"disaster, action/adventure, action, world cinema",16000000.0,,,
haevnen,2011.0,,5500000.0,,,
hag in a black leather jacket,1964.0,"short film, indie, black-and-white",,,,
hag toofan,1991.0,,,,,
hagbard and signe,1967.0,drama,,,,
haggard: the movie,2003.0,"indie, comedy",,,,
hagiga b'snuker,1975.0,comedy,,,,
hahaha,2010.0,"short film, romance film, drama, comedy, world cinema",,,,
hai meri jaan,1991.0,,,,,
haider,2014.0,,,,,
haiducii lui șaptecai,1980.0,"action, adventure",,,,
haifa,1996.0,drama,,,,
haiku tunnel,2001.0,"workplace comedy, black comedy, satire, comedy, indie",,,,
haikyuu!! the dumpster battle,2024.0,,,,,
hail and farewell,1936.0,"comedy film, drama",,,,
hail caesar,1994.0,"romantic comedy, romance film, comedy",,,,
hail mary,1985.0,"erotic drama, erotica, world cinema, experimental film, drama, avant-garde",,,,
hail the artist,1973.0,"drama, comedy",,,,
hail the conquering hero,1944.0,"comedy of errors, screwball comedy, satire, comedy, black-and-white",,,,
hail the judge,1994.0,"comedy, chinese movies",,,,
hail the new puritan,1987.0,documentary,,,,
hail the woman,1921.0,"silent film, drama, indie, black-and-white",,,,
hail! hail! rock 'n' roll,1987.0,"concert film, documentary",,,,
"hail, caesar!",2016.0,,22000000.0,30498085.0,34080455.0,64578540.0
"hail, hero!",1969.0,drama,,,,
hailesa,2009.0,comedy,,,,
haine,1980.0,drama,,,,
hair,1979.0,"lgbt, anti-war, period piece, cult, musical, drama, comedy, war film",,,,
hair high,2004.0,"black comedy, horror comedy, horror, comedy, animation",,,,
hair is falling,2011.0,"drama, comedy",,,,
hair of the dog,1962.0,comedy,,,,
hair show,2004.0,"comedy, indie",,,,
hair trigger stuff,1920.0,"short film, silent film, western, black-and-white, indie",,,,
hair-raising hare,1946.0,"short film, family film, comedy, animation",,,,
hair-trigger burke,1917.0,"short film, silent film, western, black-and-white, indie",,,,
hair-trigger casey,1936.0,"crime fiction, western, action, animation",,,,
haircut,1995.0,drama,,,,
hairkutt,2005.0,"illnesses & disabilities, culture & society, biography, documentary",,,,
hairpins,1920.0,"silent film, drama, black-and-white",,,,
hairshirt,1998.0,"romantic comedy, romance film, comedy",,,,
haiwan,1998.0,horror,,,,
haiwan,1977.0,"thriller, musical",,,,
hajar bachhor dhore,2005.0,family film,,,,
hajji washington,1998.0,"comedy, historical drama",,,,
hakani: a survivor's story,2008.0,documentary,,,,
hakanlar çarpışıyor,1977.0,adventure,,,,
hakuchi,1951.0,"romantic drama, melodrama, japanese movies, epic",,,,
hakujasho,1983.0,japanese movies,,,,
halaal ki kamai,1988.0,family film,,,,
halbblut,1919.0,silent film,,,,
haleem: al-andalib,2004.0,biographical film,,,,
half a confession,2004.0,"japanese movies, drama",,,,
half a dozen babies,1999.0,drama,,,,
half a life,1982.0,documentary,,,,
half a loaf of kung fu,1978.0,"adventure, world cinema, action/adventure, martial arts film, comedy, action, chinese movies",,,,
half a man,1925.0,"short film, silent film, indie, black-and-white",,,,
half a sinner,1940.0,"thriller, comedy",,,,
half a sixpence,1968.0,"musical, satire, romance film, comedy of manners",,,,
half angel,1951.0,comedy film,,,,
half baked,1998.0,"crime fiction, cult, stoner film, comedy",8000000.0,,,
half breed,1913.0,"silent film, drama, black-and-white",,,,
half empty saddles,1958.0,"short film, family film, western, comedy film, animation",,,,
half human,1955.0,"japanese movies, science fiction, horror, creature film",,,,
half life: a parable for the nuclear age,1985.0,documentary,,,,
half light,2006.0,"thriller, supernatural",,,,
