Name,Year,Genres,Budget,domestic_gross,foreign_gross,worldwide_gross
isle of sunken gold,1927.0,"silent film, adventure, black-and-white",,,,
isle of the dead,1945.0,"horror, black-and-white",,,,
isle of the snake people,1968.0,"zombie film, horror",,,,
ismael's ghosts,2018.0,,,,,
isn't it romantic,2019.0,,,,,
isn't it romantic?,1948.0,"musical, comedy",,,,
isn't life terrible?,1925.0,"short film, silent film, indie, black-and-white, comedy",,,,
isn't life wonderful,1924.0,"silent film, drama, indie, black-and-white",,,,
isn't life wonderful!,1953.0,"romance film, comedy film",,,,
isn't she great,2000.0,"biography, japanese movies, comedy-drama, period piece, drama, comedy, biopic [feature], biographical film",36000000.0,2962465.0,,
isnât it romantic,2019.0,,31000000.0,,,
iso lo,1994.0,documentary,,,,
isolated incident,2009.0,"comedy, stand-up comedy",,,,
isolation,2005.0,"science fiction, horror",,,,
isolation,2009.0,"documentary, war film",,,,
"ispiritista: itay, may moomoo!",2005.0,"romantic comedy, horror, world cinema, comedy horror, filipino movies, drama, comedy, romantic drama, romance film",,,,
israel vs israel,2010.0,documentary,,,,
israel's next war,2005.0,documentary,,,,
issa le tisserand,1983.0,"short film, documentary",,,,
issues 101,2002.0,"lgbt, gay, gay interest, drama, gay themed, romance film",,,,
istanbul,1957.0,"crime fiction, drama, remake",,,,
istanbul beneath my wings,1996.0,"romance film, drama, adventure",,,,
istanbul tales,2005.0,drama,,,,
istoria mias zois,1965.0,drama,,,,
it ain't hay,1943.0,"family film, comedy, black-and-white",,,,
it all came true,1940.0,"crime fiction, comedy film, drama",,,,
it all goes to show,1969.0,short film,,,,
it all starts today,1999.0,"drama, social problem film, world cinema",,,,
it always rains on sunday,1947.0,"kitchen sink realism, crime fiction, drama, crime drama",,,,
it began on the clyde,1946.0,short film,,,,
it came from beneath the sea,1955.0,"science fiction, b-movie, stop motion, sci-fi horror, creature film, monster, horror",,,,
it came from hollywood,1982.0,"film, comedy, documentary",,,,
it came from kuchar,2009.0,"lgbt, biography, film, film & television history, comedy, documentary",,,,
it came from outer space,1953.0,"b-movie, science fiction, horror",,,,
it came from somewhere else,1988.0,"cult, action/adventure, action, martial arts film, comedy",,,,
it came from the sky,1999.0,"family drama, comedy-drama, comedy, fantasy drama",,,,
it came upon the midnight clear,1984.0,"family film, drama, christmas movie, television movie",,,,
it can be done amigo,1972.0,"western, comedy",,,,
it can't last forever,1937.0,"crime fiction, comedy film, drama, adventure",,,,
it chapter two,2019.0,,,,,
it comes at night,2017.0,,5000000.0,,,
it comes up love,1943.0,"comedy film, musical",,,,
it conquered the world,1956.0,"sci-fi horror, alien film, science fiction, horror, creature film",,,,
it could happen to you,1994.0,"romantic comedy, drama, romance film, comedy-drama, comedy",,,,
it couldn't happen here,1988.0,"musical, musical comedy",,,,
it couldn't happen to a nicer guy,1974.0,comedy,,,,
it couldn't have happened – but it did,1936.0,"crime fiction, romance film, drama",,,,
it don't cost nothin' to say good morning,1994.0,"short film, documentary",,,,
it ends with us,2024.0,,,,,
it felt like a kiss,2009.0,documentary,,,,
it follows,2015.0,,2000000.0,,,
it grows on trees,1952.0,"fantasy, comedy, black-and-white",,,,
it had to be you,1947.0,comedy,,,,
it had to be you!,2005.0,chinese movies,,,,
it had to happen,1936.0,"romantic drama, melodrama, drama, black-and-white, crime drama",,,,
it happened at lakewood manor,1977.0,"cult, natural horror films, horror, television movie",,,,
it happened at the world's fair,1963.0,"romance film, musical, adventure",,,,
it happened here,1966.0,"science fiction, drama, dystopia, war film",,,,
it happened in athens,1962.0,comedy,,,,
it happened in brooklyn,1947.0,"romance film, musical, comedy film",,,,
it happened in pikesville,1916.0,"short film, silent film, comedy, black-and-white, indie",,,,
it happened on 5th avenue,1947.0,"screwball comedy, comedy",,,,
it happened on july 20th,1955.0,"thriller, history, drama, black-and-white, war film",,,,
it happened one christmas,1977.0,"comedy film, fantasy",,,,
it happened one night,1934.0,"romantic comedy, road movie, screwball comedy, black-and-white, pre-code, comedy, romance film",325000.0,,,
it happened one sunday,1944.0,"comedy film, drama, romance film",,,,
it happened thus,1912.0,"silent film, indie, black-and-white, short film, drama, romance film",,,,
it happened to jane,1959.0,"romantic comedy, romance film, comedy",,,,
it happened tomorrow,1944.0,"black-and-white, fantasy, comedy, romance film, fantasy comedy, romantic fantasy",,,,
it happens every spring,1949.0,"fantasy comedy, comedy",,,,
it is fine. everything is fine!,2007.0,"experimental film, drama, indie",,,,
it is never too late to mend,1911.0,silent film,,,,
"it is not the homosexual who is perverse, but the society in which he lives",1971.0,"drama, new queer cinema, camp",,,,
it isn't done,1937.0,comedy,,,,
